OldMethodName,NewMethodName,AutomationSetId
RAC_P_DecryptPassword,Cred_DecryptPassword,AutomationSet-8DC74F03E74FBD1
RAC_P_EncryptPassword,Cred_EncryptPassword,AutomationSet-8DC74F03E74FBD1
RAC_P_GetDecryptedCredentials,Cred_GetDecryptedCredentials,AutomationSet-8DC74F03E74FBD1
RAC_P_LoadCredsTable,Cred_LoadCredsTable,AutomationSet-8DC74F03E74FBD1
Email_P_OpenEmailWithAttachment,Email_OpenEmailWithAttachment,AutomationSet-8DC74F03E74FBD1
Email_P_SendEmail,Email_SendEmail,AutomationSet-8DC74F03E74FBD1
Email_P_SendEmailWithAttachment,Email_SendEmailWithAttachment,AutomationSet-8DC74F03E74FBD1
P_ApplyFormTextBinding,Lang_ApplyFormTextBinding,AutomationSet-8DC74F03E74FBD1
P_GetErrorsToCollate,Lang_GetErrorsToCollate,AutomationSet-8DC74F03E74FBD1
RAC_API_GetMessage,Lang_GetMessage,AutomationSet-8DC74F03E74FBD1
P_GetTranslation,Lang_GetTranslation,AutomationSet-8DC74F03E74FBD1
P_SetBinding,Lang_SetBinding,AutomationSet-8DC74F03E74FBD1
